"合同编号","采购订单号","煤种_品名代码","发货单位代码","供应商_发货单位名称","发站名称","收货单位_焦化厂","铁路车号","货票重量","制表_发出时间","生成时间","到厂_进厂交接时间","在途状态","状态","物料品名代码","采购物料代码","关联状态","收货单位"
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1716278",70.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1686538",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1805552",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1564544",70.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1632271",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"4949425",63.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1590129",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1636664",70.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"4873825",64.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1880618",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"4895808",64.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1620811",70.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1899589",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1654663",70.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1858097",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"4972819",63.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1752374",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"4874338",64.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"4928091",63.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1861610",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1675429",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"4926891",63.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1783823",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"4203450",64.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1686010",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1680807",70.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1647229",70.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"4897346",64.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1634963",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1590524",70.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"4862357",64.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1711288",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1694038",70.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1736365",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"4975432",64.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1517286",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1515713",70.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1651226",70.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1693244",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
